ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),State,Total Towers(Present),Total Towers(before 5 years)
20771,Idea,LTower, 466.00 ,Bulbul,33,Telangana,491,154
20772,Jio,GTower, 417.00 ,Sparrow,55,Tripura,742,166
20773,Jio,GTower, 862.00 ,Spotted Dove,33,Uttarakhand,495,277
20774,Airtel,MTower, 465.00 ,Kite,73,Uttar Pradesh,629,83
20775,BSNL,LTower, 750.00 ,Bulbul,64,West Bengal,479,283
20776,Vodafone,MTower, 388.00 ,Sparrow,43,Andhra Pradesh,742,278
20777,Idea,GTower, 413.00 ,Spotted Dove,44,Arunachal Pradesh,338,257
20778,BSNL,LTower, 697.00 ,Bulbul,74,Assam,614,207
20779,Jio,MTower, 548.00 ,Kite,73,Bihar,277,203
20780,Airtel,GTower, 735.00 ,Sparrow,63,Chhattisgarh,481,126
20781,Vodafone,LTower, 459.00 ,Spotted Dove,25,Goa,772,102
20782,BSNL,GTower, 389.00 ,Kite,35,Gujarat,713,208
20783,Idea,LTower, 778.00 ,Bulbul,36,Haryana,353,137
20784,Jio,MTower, 877.00 ,Sparrow,64,Andhra Pradesh,439,129
20785,Jio,LTower, 691.00 ,Bulbul,27,Arunachal Pradesh,891,195
20786,Airtel,GTower, 538.00 ,Kite,36,Assam,337,255
20787,BSNL,GTower, 447.00 ,Spotted Dove,34,Bihar,405,255
20788,Vodafone,MTower, 733.00 ,Sparrow,25,Chhattisgarh,187,70
20789,Idea,LTower, 864.00 ,Sparrow,58,Goa,612,78
20790,BSNL,MTower, 867.00 ,Bulbul,22,Gujarat,242,70
20791,Jio,GTower, 830.00 ,Kite,62,Haryana,374,295
20792,Airtel,LTower, 389.00 ,Bulbul,20,Himachal Pradesh,827,268
20793,Vodafone,MTower, 410.00 ,Sparrow,48,Jharkhand,242,60
20794,BSNL,GTower, 358.00 ,Spotted Dove,61,Karnataka,257,90
20795,Idea,LTower, 664.00 ,Kite,78,Kerala,178,266
20796,Jio,GTower, 830.00 ,Bulbul,25,Madhya Pradesh,379,278
20797,Jio,LTower, 864.00 ,Sparrow,28,Maharashtra,771,166
20798,Airtel,MTower, 454.00 ,Spotted Dove,79,Manipur,415,281
20799,BSNL,LTower, 883.00 ,Bulbul,75,Meghalaya,700,237
20800,Vodafone,GTower, 655.00 ,Kite,65,Mizoram,224,103
20801,Idea,GTower, 730.00 ,Sparrow,58,Nagaland,132,97
20802,BSNL,MTower, 776.00 ,Spotted Dove,62,Odisha,692,178
20803,Jio,LTower, 573.00 ,Kite,55,Punjab,700,112
20804,Airtel,MTower, 659.00 ,Bulbul,50,Rajasthan,883,184
20805,Vodafone,GTower, 870.00 ,Sparrow,31,Sikkim,585,103
20806,BSNL,LTower, 689.00 ,Bulbul,70,Tamil Nadu,874,126
20807,Idea,MTower, 444.00 ,Kite,39,Telangana,224,240
20808,Jio,GTower, 827.00 ,Spotted Dove,68,Tripura,864,275
20809,Jio,LTower, 508.00 ,Sparrow,29,Uttarakhand,892,209
20810,Airtel,GTower, 450.00 ,Sparrow,27,Uttar Pradesh,461,103
20811,BSNL,LTower, 574.00 ,Bulbul,44,West Bengal,433,109
20812,Vodafone,MTower, 830.00 ,Kite,79,Andhra Pradesh,880,231
20813,Idea,LTower, 721.00 ,Bulbul,32,Arunachal Pradesh,803,69
20814,BSNL,GTower, 304.00 ,Sparrow,60,Assam,368,114
20815,Jio,GTower, 838.00 ,Spotted Dove,27,Bihar,428,263
20816,Airtel,MTower, 781.00 ,Kite,22,Chhattisgarh,533,289
20817,Vodafone,LTower, 467.00 ,Bulbul,41,Goa,488,170
20818,BSNL,MTower, 681.00 ,Sparrow,57,Gujarat,868,68
20819,Idea,GTower, 847.00 ,Spotted Dove,73,Haryana,839,67
20820,Jio,LTower, 466.00 ,Bulbul,63,Himachal Pradesh,615,174
20821,Jio,MTower, 809.00 ,Kite,23,Jharkhand,697,76
20822,Airtel,GTower, 606.00 ,Sparrow,69,Karnataka,279,130
20823,BSNL,LTower, 639.00 ,Spotted Dove,63,Kerala,330,176
20824,Vodafone,GTower, 510.00 ,Kite,51,Madhya Pradesh,463,165
20825,Idea,LTower, 558.00 ,Bulbul,75,Maharashtra,104,110
20826,BSNL,MTower, 834.00 ,Sparrow,56,Manipur,465,99
20827,Jio,LTower, 397.00 ,Bulbul,35,Meghalaya,418,95
20828,Airtel,GTower, 561.00 ,Kite,60,Mizoram,348,134
20829,Vodafone,GTower, 446.00 ,Spotted Dove,51,Nagaland,246,265
20830,BSNL,MTower, 490.00 ,Sparrow,78,Odisha,423,265
20831,Idea,LTower, 405.00 ,Sparrow,45,Punjab,564,102
20832,Jio,MTower, 804.00 ,Bulbul,71,Rajasthan,329,241
20833,Jio,GTower, 686.00 ,Kite,42,Sikkim,426,152
20834,Airtel,LTower, 608.00 ,Bulbul,45,Tamil Nadu,898,91
20835,BSNL,MTower, 371.00 ,Sparrow,28,Telangana,637,52
20836,Vodafone,GTower, 786.00 ,Spotted Dove,71,Tripura,407,90
20837,Idea,LTower, 527.00 ,Kite,75,Uttarakhand,305,156
20838,BSNL,GTower, 514.00 ,Bulbul,66,Uttar Pradesh,356,244
20839,Jio,LTower, 700.00 ,Sparrow,24,West Bengal,362,205
20840,Airtel,MTower, 387.00 ,Spotted Dove,35,Andhra Pradesh,487,81
20841,Vodafone,LTower, 629.00 ,Bulbul,25,Arunachal Pradesh,379,56
20842,BSNL,GTower, 719.00 ,Kite,60,Assam,529,234
20843,Idea,GTower, 791.00 ,Sparrow,42,Bihar,289,292
20844,Jio,MTower, 641.00 ,Spotted Dove,80,Chhattisgarh,460,216
20845,Jio,LTower, 329.00 ,Kite,39,Goa,713,295
20846,Airtel,MTower, 379.00 ,Bulbul,71,Gujarat,494,283
20847,BSNL,GTower, 432.00 ,Sparrow,26,Haryana,730,237
20848,Vodafone,LTower, 535.00 ,Bulbul,32,Andhra Pradesh,590,132
20849,Idea,MTower, 317.00 ,Kite,22,Arunachal Pradesh,552,128
20850,BSNL,GTower, 644.00 ,Spotted Dove,39,Assam,297,138
20851,Jio,LTower, 791.00 ,Sparrow,51,Bihar,244,300
20852,Airtel,GTower, 648.00 ,Sparrow,75,Chhattisgarh,688,100
20853,Vodafone,LTower, 334.00 ,Bulbul,70,Goa,558,74
20854,BSNL,MTower, 718.00 ,Kite,61,Gujarat,473,67
20855,Idea,LTower, 579.00 ,Bulbul,77,Haryana,520,152
20856,Jio,GTower, 386.00 ,Sparrow,65,Himachal Pradesh,100,243
20857,Jio,GTower, 481.00 ,Spotted Dove,46,Jharkhand,562,231
20858,Airtel,MTower, 484.00 ,Kite,53,Karnataka,537,71
20859,BSNL,LTower, 300.00 ,Bulbul,28,Kerala,772,228
20860,Vodafone,MTower, 883.00 ,Sparrow,69,Madhya Pradesh,644,101
20861,Idea,GTower, 462.00 ,Spotted Dove,64,Maharashtra,721,51
20862,BSNL,LTower, 835.00 ,Bulbul,25,Manipur,482,283
20863,Jio,MTower, 693.00 ,Kite,30,Meghalaya,448,276
20864,Airtel,GTower, 841.00 ,Sparrow,27,Mizoram,297,171
20865,Vodafone,LTower, 766.00 ,Spotted Dove,23,Nagaland,592,255
20866,BSNL,GTower, 670.00 ,Kite,42,Odisha,569,186
20867,Idea,LTower, 313.00 ,Bulbul,80,Punjab,830,93
20868,Jio,MTower, 637.00 ,Sparrow,80,Rajasthan,639,168
20869,Jio,LTower, 600.00 ,Bulbul,45,Sikkim,230,164
20870,Airtel,GTower, 361.00 ,Kite,75,Tamil Nadu,299,247
20871,BSNL,GTower, 647.00 ,Spotted Dove,49,Telangana,701,116
20872,Vodafone,MTower, 549.00 ,Sparrow,43,Tripura,720,152
20873,Idea,LTower, 660.00 ,Sparrow,52,Uttarakhand,479,96
20874,BSNL,MTower, 789.00 ,Bulbul,63,Uttar Pradesh,788,285
20875,Jio,GTower, 702.00 ,Kite,59,West Bengal,900,199
20876,Airtel,LTower, 873.00 ,Bulbul,49,Andhra Pradesh,548,126
20877,Vodafone,MTower, 524.00 ,Sparrow,28,Arunachal Pradesh,223,197
20878,BSNL,GTower, 643.00 ,Spotted Dove,42,Assam,743,135
20879,Idea,LTower, 355.00 ,Kite,38,Bihar,343,186
20880,Jio,GTower, 415.00 ,Bulbul,26,Chhattisgarh,336,186
20881,Jio,LTower, 755.00 ,Sparrow,23,Goa,524,248
20882,Airtel,MTower, 306.00 ,Spotted Dove,63,Gujarat,158,123
20883,BSNL,LTower, 900.00 ,Bulbul,45,Haryana,175,249
20884,Vodafone,GTower, 750.00 ,Kite,52,Himachal Pradesh,644,194
20885,Idea,GTower, 316.00 ,Sparrow,58,Jharkhand,118,256
20886,BSNL,MTower, 645.00 ,Spotted Dove,76,Karnataka,323,260
20887,Jio,LTower, 516.00 ,Kite,24,Kerala,804,108
20888,Airtel,MTower, 610.00 ,Bulbul,21,Madhya Pradesh,872,178
20889,Vodafone,GTower, 863.00 ,Sparrow,66,Maharashtra,857,281
20890,BSNL,LTower, 801.00 ,Bulbul,74,Manipur,681,205
20891,Idea,MTower, 392.00 ,Kite,20,Meghalaya,215,215
20892,Jio,GTower, 433.00 ,Spotted Dove,80,Mizoram,667,57
20893,Jio,LTower, 658.00 ,Sparrow,23,Nagaland,669,94
20894,Airtel,GTower, 761.00 ,Sparrow,77,Odisha,754,142
20895,BSNL,LTower, 828.00 ,Bulbul,54,Punjab,494,141
20896,Vodafone,MTower, 815.00 ,Kite,37,Rajasthan,839,263
20897,Idea,LTower, 630.00 ,Bulbul,63,Sikkim,893,172
20898,BSNL,GTower, 351.00 ,Sparrow,65,Tamil Nadu,863,167
20899,Jio,GTower, 303.00 ,Spotted Dove,54,Telangana,637,199
20900,Airtel,MTower, 346.00 ,Kite,43,Tripura,114,54
20901,Vodafone,LTower, 626.00 ,Bulbul,56,Uttarakhand,143,216
20902,BSNL,MTower, 896.00 ,Sparrow,70,Uttar Pradesh,892,189
20903,Idea,GTower, 321.00 ,Spotted Dove,42,West Bengal,542,199
20904,Jio,LTower, 352.00 ,Bulbul,72,Andhra Pradesh,511,114
20905,Jio,MTower, 879.00 ,Kite,62,Arunachal Pradesh,729,97
20906,Airtel,GTower, 491.00 ,Sparrow,25,Assam,612,228
20907,BSNL,LTower, 823.00 ,Spotted Dove,76,Bihar,781,195
20908,Vodafone,GTower, 694.00 ,Kite,63,Chhattisgarh,439,217
20909,Idea,LTower, 789.00 ,Bulbul,58,Goa,542,227
20910,BSNL,MTower, 387.00 ,Sparrow,57,Gujarat,199,262
20911,Jio,LTower, 593.00 ,Bulbul,36,Haryana,182,120
20912,Airtel,GTower, 542.00 ,Kite,47,Andhra Pradesh,736,286
20913,Vodafone,GTower, 671.00 ,Spotted Dove,52,Arunachal Pradesh,441,292
20914,BSNL,MTower, 774.00 ,Sparrow,30,Assam,800,117
20915,Idea,LTower, 422.00 ,Sparrow,74,Bihar,248,152
20916,Jio,MTower, 721.00 ,Bulbul,45,Chhattisgarh,717,274
20917,Jio,GTower, 368.00 ,Kite,38,Goa,285,52
20918,Airtel,LTower, 464.00 ,Bulbul,28,Gujarat,762,246
20919,BSNL,MTower, 759.00 ,Sparrow,28,Haryana,501,254
20920,Vodafone,GTower, 649.00 ,Spotted Dove,56,Himachal Pradesh,257,187
20921,Idea,LTower, 799.00 ,Kite,38,Jharkhand,143,54
20922,BSNL,GTower, 383.00 ,Bulbul,47,Karnataka,363,127
20923,Jio,LTower, 767.00 ,Sparrow,54,Kerala,535,124
20924,Airtel,MTower, 832.00 ,Spotted Dove,55,Madhya Pradesh,590,106
20925,Vodafone,LTower, 409.00 ,Bulbul,78,Maharashtra,514,287
20926,BSNL,GTower, 343.00 ,Kite,31,Manipur,179,96
20927,Idea,GTower, 781.00 ,Sparrow,33,Meghalaya,245,145
20928,Jio,MTower, 738.00 ,Spotted Dove,64,Mizoram,268,76
20929,Jio,LTower, 431.00 ,Kite,21,Nagaland,199,103
20930,Airtel,MTower, 891.00 ,Bulbul,51,Odisha,354,77
20931,BSNL,GTower, 820.00 ,Sparrow,22,Punjab,567,127
20932,Vodafone,LTower, 329.00 ,Bulbul,77,Rajasthan,121,274
20933,Idea,MTower, 819.00 ,Kite,25,Sikkim,482,97
20934,BSNL,GTower, 418.00 ,Spotted Dove,29,Tamil Nadu,609,257
20935,Jio,LTower, 889.00 ,Sparrow,54,Telangana,105,206
20936,Airtel,GTower, 335.00 ,Sparrow,33,Tripura,360,232
20937,Vodafone,LTower, 441.00 ,Bulbul,56,Uttarakhand,105,259
20938,BSNL,MTower, 836.00 ,Kite,43,Uttar Pradesh,378,284
20939,Idea,LTower, 631.00 ,Bulbul,62,West Bengal,897,97
20940,Jio,GTower, 459.00 ,Sparrow,29,Andhra Pradesh,290,97
20941,Jio,GTower, 427.00 ,Spotted Dove,70,Arunachal Pradesh,690,117
20942,Airtel,MTower, 446.00 ,Kite,50,Assam,296,64
20943,BSNL,LTower, 300.00 ,Bulbul,65,Bihar,309,74
20944,Vodafone,MTower, 739.00 ,Sparrow,45,Chhattisgarh,509,226
20945,Idea,GTower, 515.00 ,Spotted Dove,29,Goa,826,230
20946,BSNL,LTower, 848.00 ,Bulbul,22,Gujarat,436,93
20947,Jio,MTower, 792.00 ,Kite,53,Haryana,858,268
20948,Airtel,GTower, 620.00 ,Sparrow,74,Himachal Pradesh,395,150
20949,Vodafone,LTower, 780.00 ,Spotted Dove,32,Jharkhand,535,278
20950,BSNL,GTower, 811.00 ,Kite,53,Karnataka,144,143
20951,Idea,LTower, 391.00 ,Bulbul,30,Kerala,889,135
20952,Jio,MTower, 411.00 ,Sparrow,62,Madhya Pradesh,609,115
20953,Jio,LTower, 411.00 ,Bulbul,49,Maharashtra,176,230
20954,Airtel,GTower, 712.00 ,Kite,70,Manipur,447,172
20955,BSNL,GTower, 538.00 ,Spotted Dove,60,Meghalaya,380,104
20956,Vodafone,MTower, 652.00 ,Sparrow,80,Mizoram,616,69
20957,Idea,LTower, 408.00 ,Sparrow,74,Nagaland,617,230
20958,BSNL,MTower, 472.00 ,Bulbul,38,Odisha,252,85
20959,Jio,GTower, 765.00 ,Kite,55,Punjab,252,156
20960,Airtel,LTower, 753.00 ,Bulbul,63,Rajasthan,608,139
20961,Vodafone,MTower, 377.00 ,Sparrow,59,Sikkim,576,279
20962,BSNL,GTower, 755.00 ,Spotted Dove,79,Tamil Nadu,245,246
20963,Idea,LTower, 478.00 ,Kite,43,Telangana,504,141
20964,Jio,GTower, 358.00 ,Bulbul,69,Tripura,755,165
20965,Jio,LTower, 766.00 ,Sparrow,79,Uttarakhand,360,209
20966,Airtel,MTower, 375.00 ,Spotted Dove,74,Uttar Pradesh,700,117
20967,BSNL,LTower, 683.00 ,Bulbul,61,West Bengal,416,200
20968,Vodafone,GTower, 470.00 ,Kite,25,Andhra Pradesh,896,180
20969,Idea,GTower, 514.00 ,Sparrow,67,Arunachal Pradesh,288,109
20970,BSNL,MTower, 435.00 ,Spotted Dove,79,Assam,130,100
20971,Jio,LTower, 504.00 ,Kite,58,Bihar,343,269
20972,Airtel,MTower, 534.00 ,Bulbul,41,Chhattisgarh,562,179
20973,Vodafone,GTower, 517.00 ,Sparrow,46,Goa,644,59
20974,BSNL,LTower, 752.00 ,Bulbul,71,Gujarat,491,98
20975,Idea,MTower, 375.00 ,Kite,61,Haryana,253,90
20976,Jio,GTower, 435.00 ,Spotted Dove,53,Andhra Pradesh,565,213
20977,Jio,LTower, 835.00 ,Sparrow,39,Arunachal Pradesh,262,65
20978,Airtel,GTower, 441.00 ,Sparrow,76,Assam,234,180
20979,BSNL,LTower, 338.00 ,Bulbul,75,Bihar,241,229
20980,Vodafone,MTower, 475.00 ,Kite,26,Chhattisgarh,123,171
20981,Idea,LTower, 348.00 ,Bulbul,63,Goa,119,132
20982,BSNL,GTower, 839.00 ,Sparrow,42,Gujarat,546,207
20983,Jio,GTower, 888.00 ,Spotted Dove,76,Haryana,704,153
20984,Airtel,MTower, 311.00 ,Kite,46,Himachal Pradesh,842,95
20985,Vodafone,LTower, 797.00 ,Bulbul,20,Jharkhand,667,93
20986,BSNL,MTower, 487.00 ,Sparrow,57,Karnataka,434,153
20987,Idea,GTower, 419.00 ,Spotted Dove,38,Kerala,392,209
20988,Jio,LTower, 316.00 ,Bulbul,72,Madhya Pradesh,843,153
20989,Jio,MTower, 310.00 ,Kite,64,Maharashtra,345,196
20990,Airtel,GTower, 672.00 ,Sparrow,49,Manipur,412,232
20991,BSNL,LTower, 723.00 ,Spotted Dove,80,Meghalaya,242,78
20992,Vodafone,GTower, 605.00 ,Kite,66,Mizoram,548,200
20993,Idea,LTower, 582.00 ,Bulbul,40,Nagaland,739,172
20994,BSNL,MTower, 511.00 ,Sparrow,66,Odisha,706,204
20995,Jio,LTower, 596.00 ,Bulbul,60,Punjab,736,190
20996,Airtel,GTower, 393.00 ,Kite,62,Rajasthan,766,98
20997,Vodafone,GTower, 523.00 ,Spotted Dove,26,Sikkim,889,212
20998,BSNL,MTower, 494.00 ,Sparrow,42,Tamil Nadu,725,83
20999,Idea,LTower, 542.00 ,Sparrow,23,Telangana,503,55
21000,Jio,MTower, 357.00 ,Bulbul,63,Tripura,375,160
21001,Jio,GTower, 595.00 ,Kite,70,Uttarakhand,217,202
21002,Airtel,LTower, 657.00 ,Bulbul,77,Uttar Pradesh,612,164
21003,BSNL,MTower, 772.00 ,Sparrow,45,West Bengal,272,151
21004,Vodafone,GTower, 548.00 ,Spotted Dove,79,Andhra Pradesh,155,121
21005,Idea,LTower, 317.00 ,Kite,72,Arunachal Pradesh,606,293
21006,BSNL,GTower, 539.00 ,Bulbul,26,Assam,753,122
21007,Jio,LTower, 621.00 ,Sparrow,23,Bihar,458,201
21008,Airtel,MTower, 798.00 ,Spotted Dove,23,Chhattisgarh,181,144
21009,Vodafone,LTower, 303.00 ,Bulbul,62,Goa,648,135
21010,BSNL,GTower, 435.00 ,Kite,80,Gujarat,658,180
21011,Idea,GTower, 610.00 ,Sparrow,80,Haryana,864,236
21012,Jio,MTower, 695.00 ,Spotted Dove,79,Himachal Pradesh,741,251
21013,Jio,LTower, 671.00 ,Kite,42,Jharkhand,721,224
21014,Airtel,MTower, 825.00 ,Bulbul,72,Karnataka,174,152
21015,BSNL,GTower, 459.00 ,Sparrow,36,Kerala,304,90
21016,Vodafone,LTower, 682.00 ,Bulbul,37,Madhya Pradesh,194,258
21017,Idea,MTower, 679.00 ,Kite,49,Maharashtra,305,264
21018,BSNL,GTower, 415.00 ,Spotted Dove,32,Manipur,343,279
21019,Jio,LTower, 433.00 ,Sparrow,79,Meghalaya,650,52
21020,Airtel,GTower, 459.00 ,Sparrow,44,Mizoram,243,246
21021,Vodafone,LTower, 645.00 ,Bulbul,58,Nagaland,850,276
21022,BSNL,MTower, 433.00 ,Kite,22,Odisha,596,292
21023,Idea,LTower, 481.00 ,Bulbul,42,Punjab,727,118
21024,Jio,GTower, 423.00 ,Sparrow,47,Rajasthan,123,292
21025,Jio,GTower, 692.00 ,Spotted Dove,58,Sikkim,664,274
21026,Airtel,MTower, 822.00 ,Kite,63,Tamil Nadu,172,204
21027,BSNL,LTower, 558.00 ,Bulbul,64,Telangana,507,177
21028,Vodafone,MTower, 726.00 ,Sparrow,61,Tripura,414,92
21029,Idea,GTower, 771.00 ,Spotted Dove,50,Uttarakhand,515,116
21030,BSNL,LTower, 785.00 ,Bulbul,64,Uttar Pradesh,440,187
21031,Jio,MTower, 448.00 ,Kite,46,West Bengal,104,236
21032,Airtel,GTower, 826.00 ,Sparrow,50,Andhra Pradesh,156,251
21033,Vodafone,LTower, 495.00 ,Spotted Dove,80,Arunachal Pradesh,694,242
21034,BSNL,GTower, 855.00 ,Kite,58,Assam,614,250
21035,Idea,LTower, 477.00 ,Bulbul,78,Bihar,478,259
21036,Jio,MTower, 740.00 ,Sparrow,63,Chhattisgarh,331,245
21037,Jio,LTower, 854.00 ,Bulbul,59,Goa,504,59
21038,Airtel,GTower, 615.00 ,Kite,49,Gujarat,482,141
21039,BSNL,GTower, 739.00 ,Spotted Dove,44,Haryana,242,274
21040,Vodafone,MTower, 661.00 ,Sparrow,50,Andhra Pradesh,379,113
21041,Idea,LTower, 758.00 ,Sparrow,75,Arunachal Pradesh,627,137
21042,BSNL,MTower, 469.00 ,Bulbul,69,Assam,402,71
21043,Jio,GTower, 729.00 ,Kite,61,Bihar,628,211
21044,Airtel,LTower, 336.00 ,Bulbul,58,Chhattisgarh,259,106
21045,Vodafone,MTower, 571.00 ,Sparrow,73,Goa,364,90
21046,BSNL,GTower, 466.00 ,Spotted Dove,74,Gujarat,505,228
21047,Idea,LTower, 468.00 ,Kite,53,Haryana,338,300
21048,Jio,GTower, 793.00 ,Bulbul,40,Himachal Pradesh,189,112
21049,Jio,LTower, 658.00 ,Sparrow,74,Jharkhand,254,259
21050,Airtel,MTower, 310.00 ,Spotted Dove,68,Karnataka,839,241
21051,BSNL,LTower, 498.00 ,Bulbul,38,Kerala,584,231
21052,Vodafone,GTower, 544.00 ,Kite,31,Madhya Pradesh,665,167
21053,Idea,GTower, 526.00 ,Sparrow,61,Maharashtra,388,232
21054,BSNL,MTower, 392.00 ,Spotted Dove,71,Manipur,353,202
21055,Jio,LTower, 483.00 ,Kite,57,Meghalaya,254,200
21056,Airtel,MTower, 457.00 ,Bulbul,45,Mizoram,552,207
21057,Vodafone,GTower, 783.00 ,Sparrow,68,Nagaland,593,59
21058,BSNL,LTower, 541.00 ,Bulbul,76,Odisha,651,136
21059,Idea,MTower, 852.00 ,Kite,27,Punjab,727,51
21060,Jio,GTower, 642.00 ,Spotted Dove,25,Rajasthan,433,294
21061,Jio,LTower, 791.00 ,Sparrow,35,Sikkim,354,176
21062,Airtel,GTower, 343.00 ,Sparrow,48,Tamil Nadu,695,128
21063,BSNL,LTower, 851.00 ,Bulbul,76,Telangana,628,138
21064,Vodafone,MTower, 813.00 ,Kite,35,Tripura,137,198
21065,Idea,LTower, 429.00 ,Bulbul,49,Uttarakhand,796,197
21066,BSNL,GTower, 816.00 ,Sparrow,80,Uttar Pradesh,240,223
21067,Jio,GTower, 536.00 ,Spotted Dove,43,West Bengal,627,94
21068,Airtel,MTower, 877.00 ,Kite,69,Andhra Pradesh,217,134
21069,Vodafone,LTower, 558.00 ,Bulbul,47,Arunachal Pradesh,861,140
21070,BSNL,MTower, 549.00 ,Sparrow,49,Assam,425,294
21071,Idea,GTower, 594.00 ,Spotted Dove,57,Bihar,589,289
21072,Jio,LTower, 753.00 ,Bulbul,31,Chhattisgarh,731,86
21073,Jio,MTower, 493.00 ,Kite,52,Goa,822,94
21074,Airtel,GTower, 345.00 ,Sparrow,25,Gujarat,566,256
21075,BSNL,LTower, 372.00 ,Spotted Dove,56,Haryana,794,175
21076,Vodafone,GTower, 815.00 ,Kite,56,Himachal Pradesh,745,137
21077,Idea,LTower, 506.00 ,Bulbul,57,Jharkhand,111,129
21078,BSNL,MTower, 891.00 ,Sparrow,29,Karnataka,602,167
21079,Jio,LTower, 678.00 ,Bulbul,45,Kerala,243,197
21080,Airtel,GTower, 490.00 ,Kite,54,Madhya Pradesh,450,117
21081,Vodafone,GTower, 739.00 ,Spotted Dove,59,Maharashtra,569,136
21082,BSNL,MTower, 771.00 ,Sparrow,28,Manipur,900,167
21083,Idea,LTower, 474.00 ,Sparrow,23,Meghalaya,226,173
21084,Jio,MTower, 553.00 ,Bulbul,55,Mizoram,595,196
21085,Jio,GTower, 843.00 ,Kite,43,Nagaland,726,206
21086,Airtel,LTower, 695.00 ,Bulbul,44,Odisha,508,298
21087,BSNL,MTower, 693.00 ,Sparrow,56,Punjab,898,154
21088,Vodafone,GTower, 635.00 ,Spotted Dove,64,Rajasthan,811,213
21089,Idea,LTower, 897.00 ,Kite,41,Sikkim,358,83
21090,BSNL,GTower, 343.00 ,Bulbul,62,Tamil Nadu,388,251
21091,Jio,LTower, 811.00 ,Sparrow,41,Telangana,560,211
21092,Airtel,MTower, 788.00 ,Spotted Dove,20,Tripura,286,143
21093,Vodafone,LTower, 685.00 ,Bulbul,69,Uttarakhand,125,66
21094,BSNL,GTower, 342.00 ,Kite,26,Uttar Pradesh,864,243
21095,Idea,GTower, 475.00 ,Sparrow,56,West Bengal,807,94
21096,Jio,MTower, 450.00 ,Spotted Dove,80,Andhra Pradesh,595,202
21097,Jio,LTower, 328.00 ,Kite,58,Arunachal Pradesh,762,65
21098,Airtel,MTower, 736.00 ,Bulbul,66,Assam,839,77
21099,BSNL,GTower, 365.00 ,Sparrow,57,Bihar,309,72
21100,Vodafone,LTower, 344.00 ,Bulbul,22,Chhattisgarh,888,178
21101,Idea,MTower, 769.00 ,Kite,52,Goa,723,57
21102,BSNL,GTower, 657.00 ,Spotted Dove,56,Gujarat,199,186
21103,Jio,LTower, 538.00 ,Sparrow,69,Haryana,122,231
21104,Airtel,GTower, 874.00 ,Sparrow,45,Andhra Pradesh,529,273
21105,Vodafone,LTower, 828.00 ,Bulbul,41,Arunachal Pradesh,686,198
21106,BSNL,MTower, 685.00 ,Kite,28,Assam,654,75
21107,Idea,LTower, 569.00 ,Bulbul,45,Bihar,582,144
21108,Jio,GTower, 785.00 ,Sparrow,21,Chhattisgarh,319,218
21109,Jio,GTower, 786.00 ,Spotted Dove,43,Goa,345,84
21110,Airtel,MTower, 470.00 ,Kite,27,Gujarat,472,55
21111,BSNL,LTower, 841.00 ,Bulbul,65,Haryana,490,231
21112,Vodafone,MTower, 426.00 ,Sparrow,63,Himachal Pradesh,359,176
21113,Idea,GTower, 822.00 ,Spotted Dove,76,Jharkhand,700,228
21114,BSNL,LTower, 385.00 ,Bulbul,32,Karnataka,114,87
21115,Jio,MTower, 791.00 ,Kite,31,Kerala,847,57
21116,Airtel,GTower, 562.00 ,Sparrow,53,Madhya Pradesh,323,102
21117,Vodafone,LTower, 721.00 ,Spotted Dove,64,Maharashtra,586,148
21118,BSNL,GTower, 720.00 ,Kite,24,Manipur,246,185
21119,Idea,LTower, 804.00 ,Bulbul,48,Meghalaya,520,174
21120,Jio,MTower, 719.00 ,Sparrow,36,Mizoram,521,251
21121,Jio,LTower, 691.00 ,Bulbul,66,Nagaland,386,294
21122,Airtel,GTower, 815.00 ,Kite,27,Odisha,699,122
21123,BSNL,GTower, 335.00 ,Spotted Dove,33,Punjab,486,230
21124,Vodafone,MTower, 557.00 ,Sparrow,76,Rajasthan,121,291
21125,Idea,LTower, 740.00 ,Sparrow,72,Sikkim,148,157
21126,BSNL,MTower, 420.00 ,Bulbul,61,Tamil Nadu,768,278
21127,Jio,GTower, 516.00 ,Kite,72,Telangana,326,195
21128,Airtel,LTower, 900.00 ,Bulbul,71,Tripura,818,241
21129,Vodafone,MTower, 882.00 ,Sparrow,23,Uttarakhand,471,242
21130,BSNL,GTower, 896.00 ,Spotted Dove,73,Uttar Pradesh,233,184
21131,Idea,LTower, 727.00 ,Kite,43,West Bengal,426,51
21132,Jio,GTower, 437.00 ,Bulbul,37,Andhra Pradesh,824,232
21133,Jio,LTower, 403.00 ,Sparrow,53,Arunachal Pradesh,186,255
21134,Airtel,MTower, 347.00 ,Spotted Dove,58,Assam,401,210
21135,BSNL,LTower, 335.00 ,Bulbul,52,Bihar,214,243
21136,Vodafone,GTower, 439.00 ,Kite,43,Chhattisgarh,198,179
21137,Idea,GTower, 832.00 ,Sparrow,20,Goa,289,205
21138,BSNL,MTower, 669.00 ,Spotted Dove,65,Gujarat,344,194
21139,Jio,LTower, 755.00 ,Kite,49,Haryana,691,94
21140,Airtel,MTower, 426.00 ,Bulbul,68,Himachal Pradesh,787,198
21141,Vodafone,GTower, 663.00 ,Sparrow,21,Jharkhand,124,124
21142,BSNL,LTower, 448.00 ,Bulbul,64,Karnataka,293,163
